condition,seed,generation,drift,viable,ULVI,Q_E,Q_P,Q_C,Q_F,Q_S,acc_clean,mean_len,alpha,rho_estimate,first_nonviable_generation
least_effort,1,-1,,,,,,,,,,,,1.7706411989813935,0.0
least_effort,2,0,0.47265625,False,0.37300457851115126,0.3619627011364816,0.32485257342651785,0.1636645793914795,0.7114955357142857,0.52734375,0.2535400390625,3.01953125,1.5870051927248607,,
least_effort,2,1,0.33984375,False,0.3137205322696332,0.2021371946990116,0.1778502450057323,0.1476362943649292,0.8673095703125,0.66015625,0.151123046875,1.9288330078125,1.8236384846358138,,
least_effort,2,2,0.30078125,False,0.31279632439766386,0.2234594413215431,0.19360169510346079,0.10320781171321869,0.9591238839285714,0.69921875,0.1688232421875,1.2861328125,1.9617728898181646,,
least_effort,2,3,0.4609375,False,0.3044634742380477,0.2728014144045658,0.24030554802502052,0.0775889903306961,0.9541713169642857,0.5390625,0.1851806640625,1.32080078125,1.7142061281250287,,
least_effort,2,4,0.88671875,False,0.18434374078712515,0.4020046538676464,0.3455128067722787,0.022695571184158325,0.5961390904017857,0.11328125,0.1563720703125,3.8270263671875,1.4100421195922497,,
least_effort,2,5,0.88671875,False,0.0,0.34106483258286846,0.30977931657038094,0.0,0.3568987165178571,0.11328125,0.2340087890625,5.501708984375,1.6344209216995118,,
least_effort,2,6,0.98046875,False,0.0,0.23722252857467885,0.2095245015000513,0.0,0.9095807756696429,0.01953125,0.1678466796875,1.6329345703125,1.6056583912497542,,
least_effort,2,7,0.66796875,False,0.0,0.278747424070698,0.2361966795119168,0.0,0.9097202845982143,0.33203125,0.1832275390625,1.6319580078125,1.4534721573997529,,
least_effort,2,8,0.73046875,False,0.0,0.2421028444791995,0.19827084397928119,0.0,0.8342459542410714,0.26953125,0.1658935546875,2.1602783203125,1.244612911676335,,
least_effort,2,9,0.49609375,False,0.0,0.19634759669324295,0.17220479409253991,0.0,0.8590087890625,0.50390625,0.1732177734375,1.9869384765625,1.8133770856280387,,
least_effort,2,10,0.68359375,False,0.0,0.15086022920191053,0.13374934044734313,0.0,0.9559849330357143,0.31640625,0.1602783203125,1.30810546875,2.167804875231435,,
least_effort,2,11,0.390625,False,0.0,0.08359826280135436,0.08412150491231764,0.0,0.9630824497767857,0.609375,0.1053466796875,1.2584228515625,,,
